season,week,team_id,team_name,score,opp_id,opp_name,opp_score,outcome,is_playoff
2024,1,9,Pirates of the Pancreas,105.76,4,Ants In My Eyes Jackson,71.52,W,False
2024,1,6,MT KilledbyLamaro,69.56,1,2 Brothers In a Chiefs Van,75.94,L,False
2024,1,1,2 Brothers In a Chiefs Van,75.94,6,MT KilledbyLamaro,69.56,W,False
2024,1,2,Violent Tyreek Roadshow,115.02,3,Three unmuscular Michaels jr.,101.38,W,False
2024,1,3,Three unmuscular Michaels jr.,101.38,2,Violent Tyreek Roadshow,115.02,L,False
2024,1,7,FootBall Fondlers,86.68,8,Kittl' Bits,93.9,L,False
2024,1,8,Kittl' Bits,93.9,7,FootBall Fondlers,86.68,W,False
2024,2,3,Three unmuscular Michaels jr.,92.76,10,We Are Climbing High,94.62,L,False
2024,2,10,We Are Climbing High,94.62,3,Three unmuscular Michaels jr.,92.76,W,False
2024,2,1,2 Brothers In a Chiefs Van,90.44,5,Mike Evans down your Vincents,85.8,W,False
2024,2,5,Mike Evans down your Vincents,85.8,1,2 Brothers In a Chiefs Van,90.44,L,False
2024,2,9,Pirates of the Pancreas,123.14,6,MT KilledbyLamaro,102.92,W,False
2024,2,6,MT KilledbyLamaro,102.92,9,Pirates of the Pancreas,123.14,L,False
2024,2,8,Kittl' Bits,96.4,4,Ants In My Eyes Jackson,91.68,W,False
2024,2,4,Ants In My Eyes Jackson,91.68,8,Kittl' Bits,96.4,L,False
2024,2,7,FootBall Fondlers,109.16,2,Violent Tyreek Roadshow,106.92,W,False
2024,2,2,Violent Tyreek Roadshow,106.92,7,FootBall Fondlers,109.16,L,False
2024,3,1,2 Brothers In a Chiefs Van,113.28,3,Three unmuscular Michaels jr.,83.48,W,False
2024,3,3,Three unmuscular Michaels jr.,83.48,1,2 Brothers In a Chiefs Van,113.28,L,False
2024,3,10,We Are Climbing High,123.16,9,Pirates of the Pancreas,87.8,W,False
2024,3,9,Pirates of the Pancreas,87.8,10,We Are Climbing High,123.16,L,False
2024,3,5,Mike Evans down your Vincents,82.68,8,Kittl' Bits,71.72,W,False
2024,3,8,Kittl' Bits,71.72,5,Mike Evans down your Vincents,82.68,L,False
2024,3,6,MT KilledbyLamaro,69.86,7,FootBall Fondlers,130.92,L,False
2024,3,7,FootBall Fondlers,130.92,6,MT KilledbyLamaro,69.86,W,False
2024,3,4,Ants In My Eyes Jackson,85.48,2,Violent Tyreek Roadshow,75.14,W,False
2024,3,2,Violent Tyreek Roadshow,75.14,4,Ants In My Eyes Jackson,85.48,L,False
2024,4,3,Three unmuscular Michaels jr.,70.84,9,Pirates of the Pancreas,91.22,L,False
2024,4,9,Pirates of the Pancreas,91.22,3,Three unmuscular Michaels jr.,70.84,W,False
2024,4,8,Kittl' Bits,115.98,10,We Are Climbing High,98.78,W,False
2024,4,10,We Are Climbing High,98.78,8,Kittl' Bits,115.98,L,False
2024,4,7,FootBall Fondlers,102.46,1,2 Brothers In a Chiefs Van,131.5,L,False
2024,4,1,2 Brothers In a Chiefs Van,131.5,7,FootBall Fondlers,102.46,W,False
2024,4,2,Violent Tyreek Roadshow,93.22,5,Mike Evans down your Vincents,107.48,L,False
2024,4,5,Mike Evans down your Vincents,107.48,2,Violent Tyreek Roadshow,93.22,W,False
2024,4,4,Ants In My Eyes Jackson,90.44,6,MT KilledbyLamaro,76.84,W,False
2024,4,6,MT KilledbyLamaro,76.84,4,Ants In My Eyes Jackson,90.44,L,False
2024,5,8,Kittl' Bits,116.16,3,Three unmuscular Michaels jr.,90.16,W,False
2024,5,3,Three unmuscular Michaels jr.,90.16,8,Kittl' Bits,116.16,L,False
2024,5,9,Pirates of the Pancreas,123.22,7,FootBall Fondlers,96.64,W,False
2024,5,7,FootBall Fondlers,96.64,9,Pirates of the Pancreas,123.22,L,False
2024,5,1,2 Brothers In a Chiefs Van,116.74,2,Violent Tyreek Roadshow,80.66,W,False
2024,5,2,Violent Tyreek Roadshow,80.66,1,2 Brothers In a Chiefs Van,116.74,L,False
2024,5,10,We Are Climbing High,107.88,4,Ants In My Eyes Jackson,126.72,L,False
2024,5,4,Ants In My Eyes Jackson,126.72,10,We Are Climbing High,107.88,W,False
2024,5,5,Mike Evans down your Vincents,106.34,6,MT KilledbyLamaro,68.98,W,False
2024,5,6,MT KilledbyLamaro,68.98,5,Mike Evans down your Vincents,106.34,L,False
2024,6,3,Three unmuscular Michaels jr.,123.68,7,FootBall Fondlers,121.4,W,False
2024,6,7,FootBall Fondlers,121.4,3,Three unmuscular Michaels jr.,123.68,L,False
2024,6,2,Violent Tyreek Roadshow,75.26,10,We Are Climbing High,82.22,L,False
2024,6,10,We Are Climbing High,82.22,2,Violent Tyreek Roadshow,75.26,W,False
2024,6,4,Ants In My Eyes Jackson,95.32,5,Mike Evans down your Vincents,97.16,L,False
2024,6,5,Mike Evans down your Vincents,97.16,4,Ants In My Eyes Jackson,95.32,W,False
2024,6,6,MT KilledbyLamaro,58.22,1,2 Brothers In a Chiefs Van,113.48,L,False
2024,6,1,2 Brothers In a Chiefs Van,113.48,6,MT KilledbyLamaro,58.22,W,False
2024,6,9,Pirates of the Pancreas,90.86,8,Kittl' Bits,113.42,L,False
2024,6,8,Kittl' Bits,113.42,9,Pirates of the Pancreas,90.86,W,False
2024,7,2,Violent Tyreek Roadshow,88.56,9,Pirates of the Pancreas,66.44,W,False
2024,7,9,Pirates of the Pancreas,66.44,2,Violent Tyreek Roadshow,88.56,L,False
2024,7,7,FootBall Fondlers,133.82,4,Ants In My Eyes Jackson,139.54,L,False
2024,7,4,Ants In My Eyes Jackson,139.54,7,FootBall Fondlers,133.82,W,False
2024,7,8,Kittl' Bits,93.3,6,MT KilledbyLamaro,66.26,W,False
2024,7,6,MT KilledbyLamaro,66.26,8,Kittl' Bits,93.3,L,False
2024,7,3,Three unmuscular Michaels jr.,78.78,5,Mike Evans down your Vincents,128.0,L,False
2024,7,5,Mike Evans down your Vincents,128.0,3,Three unmuscular Michaels jr.,78.78,W,False
2024,7,1,2 Brothers In a Chiefs Van,81.44,10,We Are Climbing High,100.74,L,False
2024,7,10,We Are Climbing High,100.74,1,2 Brothers In a Chiefs Van,81.44,W,False
2024,8,3,Three unmuscular Michaels jr.,90.7,4,Ants In My Eyes Jackson,107.56,L,False
2024,8,4,Ants In My Eyes Jackson,107.56,3,Three unmuscular Michaels jr.,90.7,W,False
2024,8,6,MT KilledbyLamaro,87.26,2,Violent Tyreek Roadshow,137.74,L,False
2024,8,2,Violent Tyreek Roadshow,137.74,6,MT KilledbyLamaro,87.26,W,False
2024,8,5,Mike Evans down your Vincents,123.88,7,FootBall Fondlers,111.72,W,False
2024,8,7,FootBall Fondlers,111.72,5,Mike Evans down your Vincents,123.88,L,False
2024,8,10,We Are Climbing High,87.36,8,Kittl' Bits,117.54,L,False
